"﻿AirportID";"Name";"City";"Country";"IATA";"ICAO";"Latitude";"Longitude";"Altitude"
10803;"Stóra Dímun Heliport";"Stora Dimun";"Faroe Islands";"\N";"EKSR";61.6853;-6.7585;305
10804;"Frooba Heliport";"Frooba";"Faroe Islands";"\N";"EKFA";61.5437;-6.77442;77
10831;"Person County Airport";"Roxboro";"United States";"TDF";"KTDF";36.2849;-78.9842;609
10934;"Zulu Inyala Airport";"Phinda";"South Africa";"PZL";"FADQ";-27.8494;32.3097;160
10938;"Kaili Airport";"Kaili";"China";"KJH";"ZUKJ";26.972;107.988;3115
10939;"Shennongjia Hongping Airport";"Shennongjia";"China";"HPG";"ZHSN";31.626;110.34;8365
10941;"Arxan Yi'ershi Airport";"Arxan";"China";"YIE";"ZBES";47.3106;119.912;2925
10942;"Hengyang Nanyue Airport";"Hengyang";"China";"HNY";"ZGHY";26.9053;112.628;0
10949;"Wonsan Kalma International Airport";"Wonsan";"North Korea";"WOS";"ZKWS";39.1668;127.486;7
10951;"Mestia Queen Tamar Airport";"Mestia";"Georgia";"\N";"UGMS";43.0536;42.749;4778
10952;"Magas Airport";"Magas";"Russia";"IGT";"URMS";43.3223;45.0126;1165
11004;"Talladega Municipal Airport";"Talladega";"United States";"ASN";"KASN";33.5699;-86.0509;529
11005;"Greenville Downtown Airport";"Greenville";"United States";"GMU";"KGMU";34.8479;-82.35;1048
11008;"Mankato Regional Airport";"Mankato";"United States";"MKT";"KMKT";44.2216;-93.9187;1021
11009;"Captain Auguste George Airport";"Anegada";"British Virgin Islands";"NGD";"TUPA";18.7272;-64.3297;9
11010;"Troy Municipal Airport";"Troy";"United States";"TOI";"KTOI";31.8604;-86.0121;398
11011;"Merkel Field Sylacauga Municipal Airport";"Sylacauga";"United States";"SCD";"KSCD";33.1718;-86.3055;569
11012;"Enterprise Municipal Airport";"Enterprise";"United States";"EDN";"KEDN";31.2997;-85.8999;361
11017;"Ryan Field";"Tucson";"United States";"\N";"KRYN";32.1422;-111.175;2417
11022;"Thomas C Russell Field";"Alexander City";"United States";"ALX";"KALX";32.9147;-85.963;686
11030;"Port Keats Airport";"Wadeye";"Australia";"PKT";"YPKT";-14.25;129.529;91
11031;"Garden Point Airport";"Pirlangimpi";"Australia";"GPN";"YGPT";-11.4025;130.422;90
11032;"Stade Airport";"Stade";"Germany";"\N";"EDHS";53.5611;9.49917;62
11035;"Meriden Markham Municipal Airport";"Meriden";"United States";"\N";"KMMK";41.5087;-72.8295;103
11038;"Flinders Island Airport";"Elliston";"Australia";"\N";"YFLS";-33.731;134.501;0
11048;"Luzern-Beromunster Airport";"Lucerne";"Switzerland";"\N";"LSZO";47.19;8.20472;2146
11049;"La Grand'combe Airport";"La Grand'Combe";"France";"\N";"LFTN";44.2444;4.01222;1647
11053;"Fort Mackay / Horizon Airport";"Wood Buffalo";"Canada";"HZP";"CYNR";57.3817;-111.701;916
11054;"Canmore Municipal Heliport";"Canmore";"Canada";"\N";"CEW9";51.0778;-115.338;4296
11055;"Krasnokamensk Airport";"Krasnokamensk";"Russia";"\N";"UIAE";50.0331;118.061;2139
11067;"Ridgely Airpark";"Ridgely";"United States";"\N";"KRJD";38.9701;-75.8663;64
11068;"New Castle Henry Co. Municipal Airport";"New Castle";"United States";"UWL";"KUWL";39.8759;-85.3265;1088
11069;"Scott City Municipal Airport";"Scott City";"United States";"TQK";"KTQK";38.4743;-100.885;2963
11070;"Brewster Field";"Holdredge";"United States";"HDE";"KHDE";40.4521;-99.3365;2313
11071;"Pratt Regional Airport";"Pratt";"United States";"PTT";"KPTT";37.7016;-98.7469;1953
11072;"Yubileyniy Airfield";"Baikonur";"Kazakhstan";"\N";"UAON";46.055;63.25;328
11073;"Wahoo Municipal Airport";"Wahoo";"United States";"AHQ";"KAHQ";41.2413;-96.594;1224
11074;"Jim Kelly Field";"Lexington";"United States";"LXN";"KLXN";40.791;-99.7773;2413
11075;"Sublette Municipal Airport";"Sublette";"United States";"19S";"K19S";37.4914;-100.83;2908
11076;"Council Bluffs Municipal Airport";"Council Bluffs";"United States";"CBF";"KCBF";41.2592;-95.7606;1253
11077;"Kokomo Municipal Airport";"Kokomo";"United States";"OKK";"KOKK";40.5282;-86.059;830
11078;"Neodesha Municipal Airport";"Neodesha";"United States";"2K7";"K2K7";37.4354;-95.6461;841
11079;"King Ranch Airport";"Sutton";"United States";"\N";"AK59";61.7956;-148.355;1350
11080;"Elkhart Morton County Airport";"Elkhart";"United States";"EHA";"KEHA";37.0007;-101.88;3622
11081;"Front Range Airport";"Denver";"United States";"FTG";"KFTG";39.7853;-104.543;5512
11082;"Galesburg Municipal Airport";"Galesburg";"United States";"GBG";"KGBG";40.938;-90.4311;764
11084;"Guymon Municipal Airport";"Guymon";"United States";"GUY";"KGUY";36.6851;-101.508;3123
11086;"Meade Municipal Airport";"Meade";"United States";"MEJ";"KMEJ";37.2769;-100.356;2529
11087;"Turkey Mountain Estates Airport";"Shell Knob";"United States";"\N";"MO00";36.5917;-93.6669;1000
11088;"Ulysses Airport";"Ulysses";"United States";"ULS";"KULS";37.604;-101.374;3071
11089;"Flagler Aerial Spraying Inc Airport";"Flagler";"United States";"\N";"CO00";39.28;-103.067;4945
11090;"Independence Municipal Airport";"Independence";"United States";"IDP";"KIDP";37.1584;-95.7784;825
11091;"Augusta Municipal Airport";"Augusta";"United States";"3AU";"K3AU";37.6716;-97.0779;1328
11092;"Larned Pawnee County Airport";"Larned";"United States";"LQR";"KLQR";38.2086;-99.086;2012
11093;"Lampasas Airport";"Lampasas";"United States";"LZZ";"KLZZ";31.1062;-98.1959;1215
11094;"Bay City Municipal Airport";"Bay City";"United States";"BYY";"KBYY";28.9733;-95.8635;45
11095;"Cox Field";"Paris";"United States";"PRX";"KPRX";33.6366;-95.4508;547
11096;"Coffeyville Municipal Airport";"Coffeyville";"United States";"CFV";"KCFV";37.094;-95.5719;754
11097;"The Farm Airport";"Summit";"United States";"\N";"24SC";33.9358;-81.4297;580
11098;"Greeley–Weld County Airport";"Greeley";"United States";"GXY";"KGXY";40.4374;-104.633;4697
11099;"General Dewitt Spain Airport";"Memphis";"United States";"\N";"KM01";35.2007;-90.054;225
11100;"Oryol Yuzhny Airport";"Oakley";"United States";"OEL";"UUOR";52.9347;36.0022;656
11101;"Fremont Municipal Airport";"Fremont";"United States";"FET";"KFET";41.4491;-96.5202;1204
11102;"La Grande/Union County Airport";"La Grande";"United States";"LGD";"KLGD";45.2902;-118.007;2717
11103;"Szczytno-Szymany International Airport";"Szczytno-Szymany";"Poland";"SZY";"EPSY";53.4819;20.9377;463
11110;"Pocono Mountains Municipal Airport";"Mount Pocono";"United States";"MPO";"KMPO";41.1375;-75.3789;1915
11111;"Quakertown Airport";"Quakertown";"United States";"UKT";"KUKT";40.4352;-75.3819;526
11127;"Banff Airport";"Banff";"Canada";"YBA";"CYBA";51.2073;-115.542;4583
11131;"Banning Municipal Airport";"Banning";"United States";"BNG";"KBNG";33.9231;-116.851;2219
11132;"Gießen-Lützellinden Airport";"Giessen";"Germany";"\N";"EDFL";50.5439;8.59028;755
11133;"Tököl Airport";"Budapest";"Hungary";"\N";"LHTL";47.3453;18.9808;318
11134;"Karl Stefan Memorial Airport";"Norfolk  Nebraska";"United States";"OFK";"KOFK";41.9855;-97.4351;1573
11139;"Kotido Airport";"Kotido";"Uganda";"\N";"HUKO";2.953;34.1232;4020
11140;"Kajjansi Airfield";"Kampala";"Uganda";"\N";"HUKJ";0.1968;32.553;3743
11141;"Arlington Municipal Airport";"Arlington";"United States";"AWO";"KAWO";48.1607;-122.159;142
11142;"Paracatu Airport";"Paracatu";"Brazil";"\N";"SNZR";-17.2426;-46.8831;2359
11143;"Conselheiro Lafaiete Airport";"Conselheiro Lafaiete";"Brazil";"\N";"SNKF";-20.7386;-43.7974;3478
11144;"Janaúba Airport";"Janauba";"Brazil";"\N";"SNAP";-15.732;-43.3231;1732
11145;"Juscelino Kubitscheck Airport";"Teofilo Otoni";"Brazil";"TFL";"SNTO";-17.8923;-41.5136;1572
11146;"Cristiano Ferreira Varella Airport";"Muriae";"Brazil";"\N";"SNBM";-21.1261;-42.3944;886
11153;"Peter O Knight Airport";"Tampa";"United States";"TPF";"KTPF";27.9156;-82.4493;8
11170;"Lure Malbouhans Air Base";"Malbouhans";"France";"\N";"LFYL";47.7047;6.54583;1040
11175;"Parati Airport";"Paraty";"Brazil";"\N";"SDTK";-23.2244;-44.7203;10
11176;"Umberto Modiano Airport";"Buzios";"Brazil";"BZC";"SBBZ";-22.771;-41.9629;10
11177;"Angra dos Reis Airport";"Angra dos Reis";"Brazil";"\N";"SDAG";-22.9753;-44.3071;10
11178;"Itaperuna Airport";"Itaperuna";"Brazil";"ITP";"SDUN";-21.2193;-41.8759;410
11179;"Maricá Airport";"Marica";"Brazil";"\N";"SDMC";-22.9195;-42.8309;13
11180;"Resende Airport";"Resende";"Brazil";"\N";"SDRS";-22.4785;-44.4803;1320
